,Users,mentioned,frequency
221,@LoudSilentOne,@realDonaldTrump,1
222,@LouisGladney,@realDonaldTrump,1
223,@LouiseCHRISTY3,@realDonaldTrump,1
224,@Lrihendry,@realDonaldTrump,5
225,@Luckas72039193,@realDonaldTrump,1
226,@LyndaMOtvos,@realDonaldTrump,1
227,@MADE__USA,@realDonaldTrump,1
228,@MASTCyberTeam,@realDonaldTrump,1
229,@MBGLE350,@realDonaldTrump,1
230,@MadamCha0s,@realDonaldTrump,1
231,@Maine_Indy,@realDonaldTrump,1
232,@MakeNEGrrAgain,@realDonaldTrump,1
233,@MangoMenace45,@realDonaldTrump,1
234,@Marc53038361,@realDonaldTrump,1
235,@MarciaWellman4,@realDonaldTrump,1
236,@MargeELDER8,@realDonaldTrump,1
237,@MarkB11376370,@realDonaldTrump,1
238,@MartheTamblyn,@realDonaldTrump,1
239,@MatthewDicks,@realDonaldTrump,1
240,@MatthewJshow,@realDonaldTrump,1
241,@MazurikL,@realDonaldTrump,1
242,@McqueenJaimie1,@realDonaldTrump,1
243,@Mel7002361,@realDonaldTrump,1
244,@MelanieMH,@realDonaldTrump,1
245,@MerkelPatty,@realDonaldTrump,1
246,@Metal_Man_X,@realDonaldTrump,1
247,@Miguevelas,@realDonaldTrump,1
248,@MikeHatch2,@realDonaldTrump,1
249,@MilosVendettaOG,@realDonaldTrump,1
250,@Mimi98467096,@realDonaldTrump,1
251,@Mimi_Resister,@realDonaldTrump,1
252,@MinMtwit,@realDonaldTrump,1
253,@MolenaVal,@realDonaldTrump,1
254,@MommaTL,@realDonaldTrump,1
255,@MoniqueOMadan,@realDonaldTrump,1
256,@MrQuintinC,@realDonaldTrump,1
257,@MrRocketArmy,@realDonaldTrump,2
258,@Mr_Suns_father,@realDonaldTrump,1
259,@NHJennifer,@realDonaldTrump,1
260,@NM11Ancient,@realDonaldTrump,1
261,@NStephey,@realDonaldTrump,1
262,@Nationalists31,@realDonaldTrump,1
263,@NicholosPoma,@realDonaldTrump,1
264,@Nikyrlo3,@realDonaldTrump,1
265,@NonyAmos,@realDonaldTrump,1
266,@NorthmanTrader,@realDonaldTrump,2
267,@Number41963,@realDonaldTrump,1
268,@OLAWYERO,@realDonaldTrump,1
269,@OOBRadioHost,@realDonaldTrump,1
270,@OliverMcGee,@realDonaldTrump,1
271,@OneOfTheSmiths,@realDonaldTrump,1
272,@OridiusMorphius,@realDonaldTrump,1
273,@Out5p0ken,@realDonaldTrump,1
274,@PNW_DrGoose,@realDonaldTrump,1
275,@Pablo_Rosendo,@realDonaldTrump,1
276,@Pappiness,@realDonaldTrump,3
277,@PatriciaBrand67,@realDonaldTrump,1
278,@PaulMcCombs9,@realDonaldTrump,1
279,@Paul_VanDerMeer,@realDonaldTrump,1
280,@PaulieKatarivas,@realDonaldTrump,1
281,@PaulusAr,@realDonaldTrump,1
282,@PeaceHappyJoy,@realDonaldTrump,1
283,@PennyPenelope8,@realDonaldTrump,1
284,@Pennylane2004,@realDonaldTrump,1
285,@PeshingXx,@realDonaldTrump,1
286,@PhilipTalotta,@realDonaldTrump,1
287,@PhillyRepub1,@realDonaldTrump,1
288,@PlaysTrumpCard,@realDonaldTrump,2
289,@PootsMom,@realDonaldTrump,1
290,@PressSec,@realDonaldTrump,1
291,@ProjectNeg11,@realDonaldTrump,1
292,@PsingCrypto,@realDonaldTrump,1
293,@QilingC,@realDonaldTrump,1
294,@Quasar916,@realDonaldTrump,1
295,@R3Thorns,@realDonaldTrump,1
296,@REALLY50409619,@realDonaldTrump,1
297,@RNCResearch,@realDonaldTrump,1
298,@RaeofChange,@realDonaldTrump,1
299,@Raffertysdad,@realDonaldTrump,1
300,@RagingPachyderm,@realDonaldTrump,1
301,@RealDeepState3,@realDonaldTrump,1
302,@RealEricCarmen,@realDonaldTrump,1
303,@RealPeachyKeen2,@realDonaldTrump,1
304,@RealVanf,@realDonaldTrump,1
305,@RebelRedding,@realDonaldTrump,1
306,@RegularResister,@realDonaldTrump,1
307,@RepAndyLevin,@realDonaldTrump,1
308,@ReubenStutter,@realDonaldTrump,1
309,@Rick_Gains,@realDonaldTrump,1
310,@RinehartLela,@realDonaldTrump,1
311,@RingsingC,@realDonaldTrump,1
312,@Roastar2,@realDonaldTrump,1
313,@Rob184rob,@realDonaldTrump,1
314,@Rockettlulu,@realDonaldTrump,1
315,@RonJeffords,@realDonaldTrump,1
316,@RsrnF,@realDonaldTrump,1
317,@Russell31326157,@realDonaldTrump,1
318,@RuthNBetty,@realDonaldTrump,1
319,@Rwwatson,@realDonaldTrump,1
320,@Ryan_Bennett6,@realDonaldTrump,1
321,@RyansFeet1,@realDonaldTrump,1
322,@RynnDwyer,@realDonaldTrump,1
323,@SHMiddlebrook,@realDonaldTrump,1
324,@ScottMurdock1,@realDonaldTrump,1
325,@ScottPresler,@realDonaldTrump,2
326,@SecretarySonny,@realDonaldTrump,1
327,@Seddel3,@realDonaldTrump,1
328,@SexCounseling,@realDonaldTrump,1
329,@ShalomLipner,@realDonaldTrump,1
330,@ShannonMcKinl68,@realDonaldTrump,1
331,@SharonShaman,@realDonaldTrump,1
332,@SheShel61,@realDonaldTrump,1
333,@Shehryar1995,@realDonaldTrump,1
334,@Sherwood1981,@realDonaldTrump,1
335,@ShiftItChick37,@realDonaldTrump,1
336,@ShineOPTC,@realDonaldTrump,1
337,@Sissymcsison,@realDonaldTrump,1
338,@SmokeyStafford,@realDonaldTrump,1
339,@Spaniard8888888,@realDonaldTrump,1
340,@SteveScalise,@realDonaldTrump,1
341,@Stevegreene1242,@realDonaldTrump,1
342,@StevieTGarris,@realDonaldTrump,1
343,@Strandjunker,@realDonaldTrump,2
344,@SueKay22999557,@realDonaldTrump,1
345,@SueQueRN,@realDonaldTrump,1
346,@SusanLa90494043,@realDonaldTrump,1
347,@THeinrich22,@realDonaldTrump,1
348,@TKThomas7,@realDonaldTrump,1
349,@TPPatriots,@realDonaldTrump,1
350,@Tahnit,@realDonaldTrump,1
351,@TalbertSwan,@realDonaldTrump,2
352,@TanveerBarry,@realDonaldTrump,1
353,@Tat22134167,@realDonaldTrump,1
354,@TeamTrump,@realDonaldTrump,2
355,@TexanLady40,@realDonaldTrump,1
356,@TheClearCider,@realDonaldTrump,1
357,@TheDailyDopeShw,@realDonaldTrump,1
358,@TheDailyEdge,@realDonaldTrump,2
359,@ThePubliusUSA,@realDonaldTrump,1
360,@TheRightMelissa,@realDonaldTrump,1
361,@TheTopMostDog,@realDonaldTrump,1
362,@TimMurtaugh,@realDonaldTrump,1
363,@Tim_Canova,@realDonaldTrump,1
364,@Tim_Patriot1,@realDonaldTrump,1
365,@TimeForRates,@realDonaldTrump,1
366,@TimeToSayGood15,@realDonaldTrump,1
367,@ToddHall45,@realDonaldTrump,1
368,@TomFitton,@realDonaldTrump,2
369,@ToniGuillot89,@realDonaldTrump,3
370,@Travelgirl1024,@realDonaldTrump,1
371,@Tricefor3,@realDonaldTrump,1
372,@TrueNor19409106,@realDonaldTrump,1
373,@TrumpNewsNetwrk,@realDonaldTrump,1
374,@TrumpNewsPolls,@realDonaldTrump,1
375,@TrumpOnDrugs,@realDonaldTrump,1
376,@TrumpPenthouse,@realDonaldTrump,1
377,@TrumpStudents,@realDonaldTrump,1
378,@Trump_Detester,@realDonaldTrump,1
379,@TrumperSeaney,@realDonaldTrump,1
380,@TurtleVentura,@realDonaldTrump,1
381,@TwittOne,@realDonaldTrump,1
382,@TylerDWalton,@realDonaldTrump,1
383,@VGadsden,@realDonaldTrump,2
384,@VPorochenko,@realDonaldTrump,1
385,@VentonBlandinTV,@realDonaldTrump,1
386,@Voice_For_India,@realDonaldTrump,1
387,@WTEpaminondas,@realDonaldTrump,1
388,@WWoodUK,@realDonaldTrump,1
389,@WadeckiTom,@realDonaldTrump,1
390,@Waleed98971879,@realDonaldTrump,1
391,@WalkedAway266,@realDonaldTrump,1
392,@Watching_You2,@realDonaldTrump,1
393,@Wayward888,@realDonaldTrump,1
394,@WhiteHouse,@realDonaldTrump,4
395,@WilliamChang_,@realDonaldTrump,1
396,@WomenSpoke4Me,@realDonaldTrump,1
397,@WonkPorn,@realDonaldTrump,1
398,@Woodbridges25th,@realDonaldTrump,1
399,@Yeolddogface,@realDonaldTrump,1
400,@Youngie60,@realDonaldTrump,1
401,@YourServiceYW,@realDonaldTrump,1
402,@ZackSohn_,@realDonaldTrump,1
403,@ZelimHann,@realDonaldTrump,1
404,@Zimgirl1219,@realDonaldTrump,1
405,@_Kel_Varnsen_,@realDonaldTrump,1
406,@_ciel_neuro,@realDonaldTrump,1
407,@acwill1228,@realDonaldTrump,1
408,@adamhume,@realDonaldTrump,1
409,@agordonstudio,@realDonaldTrump,1
410,@akajokoz,@realDonaldTrump,1
411,@aking4democracy,@realDonaldTrump,1
412,@alexanderrsky,@realDonaldTrump,1
